state,district,month,bio_age_5_17,bio_age_17_
Andaman & Nicobar Islands,Andamans,2025-01,96,923
Andaman & Nicobar Islands,Andamans,2025-02,14,32
Andaman & Nicobar Islands,Andamans,2025-03,21,36
Andaman & Nicobar Islands,Andamans,2025-04,7,17
Andaman & Nicobar Islands,Andamans,2025-05,9,28
Andaman & Nicobar Islands,Andamans,2025-06,9,16
Andaman & Nicobar Islands,Andamans,2025-07,4,9
Andaman & Nicobar Islands,Andamans,2025-08,6,33
Andaman & Nicobar Islands,Andamans,2025-09,19,34
Andaman & Nicobar Islands,Andamans,2025-10,12,27
Andaman & Nicobar Islands,Andamans,2025-11,9,35
Andaman & Nicobar Islands,Andamans,2025-12,18,38
Andaman & Nicobar Islands,Nicobars,2025-01,1,0
Andaman & Nicobar Islands,Nicobars,2025-02,0,1
Andaman & Nicobar Islands,South Andaman,2025-01,1,10
Andaman & Nicobar Islands,South Andaman,2025-02,2,8
Andaman & Nicobar Islands,South Andaman,2025-03,4,11
Andaman & Nicobar Islands,South Andaman,2025-04,1,12
Andaman & Nicobar Islands,South Andaman,2025-05,4,14
Andaman & Nicobar Islands,South Andaman,2025-06,0,7
Andaman & Nicobar Islands,South Andaman,2025-07,1,3
Andaman & Nicobar Islands,South Andaman,2025-08,1,14
Andaman & Nicobar Islands,South Andaman,2025-09,3,4
Andaman & Nicobar Islands,South Andaman,2025-10,3,10
Andaman & Nicobar Islands,South Andaman,2025-11,3,16
Andaman & Nicobar Islands,South Andaman,2025-12,5,13
Andaman And Nicobar Islands,Nicobar,2025-01,534,513
Andaman And Nicobar Islands,Nicobar,2025-02,28,33
Andaman And Nicobar Islands,Nicobar,2025-03,30,19
Andaman And Nicobar Islands,Nicobar,2025-04,40,11
Andaman And Nicobar Islands,Nicobar,2025-05,30,10
Andaman And Nicobar Islands,Nicobar,2025-06,30,13
Andaman And Nicobar Islands,Nicobar,2025-07,9,5
Andaman And Nicobar Islands,Nicobar,2025-08,27,22
Andaman And Nicobar Islands,Nicobar,2025-09,26,14
Andaman And Nicobar Islands,Nicobar,2025-10,13,13
Andaman And Nicobar Islands,Nicobar,2025-11,27,19
Andaman And Nicobar Islands,Nicobar,2025-12,23,8
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,2102,2074
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,111,32
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,45,20
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,41,18
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,61,19
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,51,7
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,27,8
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,44,22
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,74,22
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,66,18
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,57,28
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,98,20
Andaman And Nicobar Islands,South Andaman,2025-01,3733,2563
Andaman And Nicobar Islands,South Andaman,2025-02,177,42
Andaman And Nicobar Islands,South Andaman,2025-03,129,36
Andaman And Nicobar Islands,South Andaman,2025-04,118,36
Andaman And Nicobar Islands,South Andaman,2025-05,136,29
Andaman And Nicobar Islands,South Andaman,2025-06,110,25
Andaman And Nicobar Islands,South Andaman,2025-07,50,15
Andaman And Nicobar Islands,South Andaman,2025-08,142,44
Andaman And Nicobar Islands,South Andaman,2025-09,180,43
Andaman And Nicobar Islands,South Andaman,2025-10,126,35
Andaman And Nicobar Islands,South Andaman,2025-11,141,44
Andaman And Nicobar Islands,South Andaman,2025-12,113,55
Andhra Pradesh,Adilabad,2025-01,6035,20122
Andhra Pradesh,Adilabad,2025-02,268,888
Andhra Pradesh,Adilabad,2025-03,219,740
Andhra Pradesh,Adilabad,2025-04,329,1024
Andhra Pradesh,Adilabad,2025-05,148,481
Andhra Pradesh,Adilabad,2025-06,219,689
Andhra Pradesh,Adilabad,2025-07,98,304
Andhra Pradesh,Adilabad,2025-08,277,826
Andhra Pradesh,Adilabad,2025-09,179,683
Andhra Pradesh,Adilabad,2025-10,216,630
Andhra Pradesh,Adilabad,2025-11,199,669
Andhra Pradesh,Adilabad,2025-12,233,1021
Andhra Pradesh,Alluri Sitharama Raju,2025-01,5218,5934
Andhra Pradesh,Alluri Sitharama Raju,2025-02,169,189
Andhra Pradesh,Alluri Sitharama Raju,2025-03,108,113
Andhra Pradesh,Alluri Sitharama Raju,2025-04,189,225
Andhra Pradesh,Alluri Sitharama Raju,2025-05,116,161
Andhra Pradesh,Alluri Sitharama Raju,2025-06,112,127
Andhra Pradesh,Alluri Sitharama Raju,2025-07,69,74
Andhra Pradesh,Alluri Sitharama Raju,2025-08,134,146
Andhra Pradesh,Alluri Sitharama Raju,2025-09,114,130
Andhra Pradesh,Alluri Sitharama Raju,2025-10,112,122
Andhra Pradesh,Alluri Sitharama Raju,2025-11,101,130
Andhra Pradesh,Alluri Sitharama Raju,2025-12,140,143
Andhra Pradesh,Anakapalli,2025-01,2226,1843
Andhra Pradesh,Anakapalli,2025-02,33,39
Andhra Pradesh,Anakapalli,2025-03,31,42
Andhra Pradesh,Anakapalli,2025-04,41,76
Andhra Pradesh,Anakapalli,2025-05,29,31
Andhra Pradesh,Anakapalli,2025-06,54,73
Andhra Pradesh,Anakapalli,2025-07,18,14
Andhra Pradesh,Anakapalli,2025-08,48,57
Andhra Pradesh,Anakapalli,2025-09,33,47
Andhra Pradesh,Anakapalli,2025-10,28,40
Andhra Pradesh,Anakapalli,2025-11,30,47
Andhra Pradesh,Anakapalli,2025-12,46,45
Andhra Pradesh,Anantapur,2025-01,21756,32725
Andhra Pradesh,Anantapur,2025-02,423,1044
Andhra Pradesh,Anantapur,2025-03,423,930
Andhra Pradesh,Anantapur,2025-04,738,1370
Andhra Pradesh,Anantapur,2025-05,394,922
Andhra Pradesh,Anantapur,2025-06,520,1120
Andhra Pradesh,Anantapur,2025-07,295,412
Andhra Pradesh,Anantapur,2025-08,463,888
Andhra Pradesh,Anantapur,2025-09,284,868
Andhra Pradesh,Anantapur,2025-10,467,760
Andhra Pradesh,Anantapur,2025-11,343,808
Andhra Pradesh,Anantapur,2025-12,410,1170
Andhra Pradesh,Ananthapur,2025-01,50370,11369
Andhra Pradesh,Ananthapur,2025-02,439,352
Andhra Pradesh,Ananthapur,2025-03,457,320
Andhra Pradesh,Ananthapur,2025-04,650,431
Andhra Pradesh,Ananthapur,2025-05,344,318
Andhra Pradesh,Ananthapur,2025-06,499,379
Andhra Pradesh,Ananthapur,2025-07,234,156
Andhra Pradesh,Ananthapur,2025-08,376,295
Andhra Pradesh,Ananthapur,2025-09,345,315
Andhra Pradesh,Ananthapur,2025-10,387,264
Andhra Pradesh,Ananthapur,2025-11,389,315
Andhra Pradesh,Ananthapur,2025-12,352,400
Andhra Pradesh,Ananthapuramu,2025-01,71315,12098
Andhra Pradesh,Ananthapuramu,2025-02,684,285
Andhra Pradesh,Ananthapuramu,2025-03,549,248
Andhra Pradesh,Ananthapuramu,2025-04,860,403
Andhra Pradesh,Ananthapuramu,2025-05,426,220
Andhra Pradesh,Ananthapuramu,2025-06,683,300
