state,district,month,bio_age_5_17,bio_age_17_,dataset
Andaman & Nicobar Islands,Andamans,2025-01,96,923,biometric
Andaman & Nicobar Islands,Andamans,2025-02,14,32,biometric
Andaman & Nicobar Islands,Andamans,2025-03,21,36,biometric
Andaman & Nicobar Islands,Andamans,2025-04,7,17,biometric
Andaman & Nicobar Islands,Andamans,2025-05,9,28,biometric
Andaman & Nicobar Islands,Andamans,2025-06,9,16,biometric
Andaman & Nicobar Islands,Andamans,2025-07,4,9,biometric
Andaman & Nicobar Islands,Andamans,2025-08,6,33,biometric
Andaman & Nicobar Islands,Andamans,2025-09,19,34,biometric
Andaman & Nicobar Islands,Andamans,2025-10,12,27,biometric
Andaman & Nicobar Islands,Andamans,2025-11,9,35,biometric
Andaman & Nicobar Islands,Andamans,2025-12,18,38,biometric
Andaman & Nicobar Islands,Nicobars,2025-01,1,0,biometric
Andaman & Nicobar Islands,Nicobars,2025-02,0,1,biometric
Andaman & Nicobar Islands,South Andaman,2025-01,1,10,biometric
Andaman & Nicobar Islands,South Andaman,2025-02,2,8,biometric
Andaman & Nicobar Islands,South Andaman,2025-03,4,11,biometric
Andaman & Nicobar Islands,South Andaman,2025-04,1,12,biometric
Andaman & Nicobar Islands,South Andaman,2025-05,4,14,biometric
Andaman & Nicobar Islands,South Andaman,2025-06,0,7,biometric
Andaman & Nicobar Islands,South Andaman,2025-07,1,3,biometric
Andaman & Nicobar Islands,South Andaman,2025-08,1,14,biometric
Andaman & Nicobar Islands,South Andaman,2025-09,3,4,biometric
Andaman & Nicobar Islands,South Andaman,2025-10,3,10,biometric
Andaman & Nicobar Islands,South Andaman,2025-11,3,16,biometric
Andaman & Nicobar Islands,South Andaman,2025-12,5,13,biometric
Andaman And Nicobar Islands,Nicobar,2025-01,534,513,biometric
Andaman And Nicobar Islands,Nicobar,2025-02,28,33,biometric
Andaman And Nicobar Islands,Nicobar,2025-03,30,19,biometric
Andaman And Nicobar Islands,Nicobar,2025-04,40,11,biometric
Andaman And Nicobar Islands,Nicobar,2025-05,30,10,biometric
Andaman And Nicobar Islands,Nicobar,2025-06,30,13,biometric
Andaman And Nicobar Islands,Nicobar,2025-07,9,5,biometric
Andaman And Nicobar Islands,Nicobar,2025-08,27,22,biometric
Andaman And Nicobar Islands,Nicobar,2025-09,26,14,biometric
Andaman And Nicobar Islands,Nicobar,2025-10,13,13,biometric
Andaman And Nicobar Islands,Nicobar,2025-11,27,19,biometric
Andaman And Nicobar Islands,Nicobar,2025-12,23,8,biometric
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,2102,2074,biometric
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,111,32,biometric
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,45,20,biometric
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,41,18,biometric
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,61,19,biometric
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,51,7,biometric
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,27,8,biometric
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,44,22,biometric
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,74,22,biometric
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,66,18,biometric
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,57,28,biometric
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,98,20,biometric
Andaman And Nicobar Islands,South Andaman,2025-01,3733,2563,biometric
Andaman And Nicobar Islands,South Andaman,2025-02,177,42,biometric
Andaman And Nicobar Islands,South Andaman,2025-03,129,36,biometric
Andaman And Nicobar Islands,South Andaman,2025-04,118,36,biometric
Andaman And Nicobar Islands,South Andaman,2025-05,136,29,biometric
Andaman And Nicobar Islands,South Andaman,2025-06,110,25,biometric
Andaman And Nicobar Islands,South Andaman,2025-07,50,15,biometric
