state,district,month,biometric_pressure_index
Andaman & Nicobar Islands,Andamans,2025-01,3.031852797237589
Andaman & Nicobar Islands,Andamans,2025-02,-0.3858623192103208
Andaman & Nicobar Islands,Andamans,2025-03,-0.6159450610933914
Andaman & Nicobar Islands,Andamans,2025-04,-0.38972041396750645
Andaman & Nicobar Islands,Andamans,2025-05,-0.07721473863547007
Andaman & Nicobar Islands,Andamans,2025-06,-0.6327803836702014
Andaman & Nicobar Islands,Andamans,2025-07,-0.5401861094977463
Andaman & Nicobar Islands,Andamans,2025-08,0.8090447427294588
Andaman & Nicobar Islands,Andamans,2025-09,-0.5864832465839739
Andaman & Nicobar Islands,Andamans,2025-10,-0.4119786529512697
Andaman & Nicobar Islands,Andamans,2025-11,0.24686522096812338
Andaman & Nicobar Islands,Andamans,2025-12,-0.44759183532529095
Andaman & Nicobar Islands,Nicobars,2025-01,-0.999998000004
Andaman & Nicobar Islands,Nicobars,2025-02,0.999998000004
Andaman & Nicobar Islands,South Andaman,2025-01,0.6675733847669586
Andaman & Nicobar Islands,South Andaman,2025-02,-0.4886361888500415
Andaman & Nicobar Islands,South Andaman,2025-03,-0.7198781035734413
Andaman & Nicobar Islands,South Andaman,2025-04,1.1630917734599586
Andaman & Nicobar Islands,South Andaman,2025-05,-0.4225670703576415
Andaman & Nicobar Islands,South Andaman,2025-06,1.6586101621529585
Andaman & Nicobar Islands,South Andaman,2025-07,-1.0667409756585415
Andaman & Nicobar Islands,South Andaman,2025-08,1.6586101621529585
Andaman & Nicobar Islands,South Andaman,2025-09,-1.3145001700050414
Andaman & Nicobar Islands,South Andaman,2025-10,-0.5712225869655414
Andaman & Nicobar Islands,South Andaman,2025-11,0.1720549960739586
Andaman & Nicobar Islands,South Andaman,2025-12,-0.7363953831965415
Andaman And Nicobar Islands,Nicobar,2025-01,1.2520164444314783
Andaman And Nicobar Islands,Nicobar,2025-02,1.917576151273622
Andaman And Nicobar Islands,Nicobar,2025-03,-0.03401512083880599
Andaman And Nicobar Islands,Nicobar,2025-04,-1.3149737989274821
Andaman And Nicobar Islands,Nicobar,2025-05,-1.1131789386806359
Andaman And Nicobar Islands,Nicobar,2025-06,-0.7534576660666925
Andaman And Nicobar Islands,Nicobar,2025-07,-0.45368993888840653
Andaman And Nicobar Islands,Nicobar,2025-08,0.6083442945432355
Andaman And Nicobar Islands,Nicobar,2025-09,-0.38485438672154093
Andaman And Nicobar Islands,Nicobar,2025-10,1.1393614112590567
Andaman And Nicobar Islands,Nicobar,2025-11,0.21008145700636988
Andaman And Nicobar Islands,Nicobar,2025-12,-1.0732099083901978
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,2.869196613846009
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,-0.46353470549632725
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,0.24568382905120892
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,0.21613305677839484
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,-0.3648732561338675
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,-1.1824140694407448
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,-0.46353470549632725
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,0.5031038897388331
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,-0.42728575817500863
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,-0.5446890651709209
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,0.4739380700550138
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,-0.8617238995562654
Andaman And Nicobar Islands,South Andaman,2025-01,2.832317135810206
Andaman And Nicobar Islands,South Andaman,2025-02,-0.6544310990190009
Andaman And Nicobar Islands,South Andaman,2025-03,-0.3373076176375697
Andaman And Nicobar Islands,South Andaman,2025-04,-0.1391602578211116
Andaman And Nicobar Islands,South Andaman,2025-05,-0.8423474432790252
Andaman And Nicobar Islands,South Andaman,2025-06,-0.7374881099559399
Andaman And Nicobar Islands,South Andaman,2025-07,-0.20420863351843357
Andaman And Nicobar Islands,South Andaman,2025-08,-0.09913048816122072
Andaman And Nicobar Islands,South Andaman,2025-09,-0.641937482133563
Andaman And Nicobar Islands,South Andaman,2025-10,-0.3476223752133171
Andaman And Nicobar Islands,South Andaman,2025-11,-0.0823574508741542
Andaman And Nicobar Islands,South Andaman,2025-12,1.2536738218031298
Andhra Pradesh,Adilabad,2025-01,0.020574444663275092
Andhra Pradesh,Adilabad,2025-02,-0.06430770985326423
Andhra Pradesh,Adilabad,2025-03,0.09873435888749149
Andhra Pradesh,Adilabad,2025-04,-0.5808719867428933
Andhra Pradesh,Adilabad,2025-05,-0.2544869819817428
Andhra Pradesh,Adilabad,2025-06,-0.5057991927488391
Andhra Pradesh,Adilabad,2025-07,-0.6651642466660423
Andhra Pradesh,Adilabad,2025-08,-0.9245979333449762
Andhra Pradesh,Adilabad,2025-09,1.2221921356757037
Andhra Pradesh,Adilabad,2025-10,-1.101920512800097
Andhra Pradesh,Adilabad,2025-11,0.050134602775551394
Andhra Pradesh,Adilabad,2025-12,2.7055130221358192
Andhra Pradesh,Alluri Sitharama Raju,2025-01,0.03120211205534806
Andhra Pradesh,Alluri Sitharama Raju,2025-02,-0.2244418648816177
