state,district,month,demographic_pressure_index
Andaman & Nicobar Islands,Andamans,2025-01,0.21836381277428435
Andaman & Nicobar Islands,Andamans,2025-02,0.1247793215853053
Andaman & Nicobar Islands,Andamans,2025-03,-0.10918190638714234
Andaman & Nicobar Islands,Andamans,2025-04,2.5579760924987607
Andaman & Nicobar Islands,Andamans,2025-05,-1.045026818276933
Andaman & Nicobar Islands,Andamans,2025-06,-0.7174810991155062
Andaman & Nicobar Islands,Andamans,2025-07,-0.8110655903044853
Andaman & Nicobar Islands,Andamans,2025-08,-0.43672762554856903
Andaman & Nicobar Islands,Andamans,2025-09,-1.0918190638714225
Andaman & Nicobar Islands,Andamans,2025-10,-0.43672762554856903
Andaman & Nicobar Islands,Andamans,2025-11,0.9670397422861168
Andaman & Nicobar Islands,Andamans,2025-12,0.7798707599081587
Andaman & Nicobar Islands,Nicobars,2025-03,0.0
Andaman & Nicobar Islands,Nicobars,2025-04,0.0
Andaman & Nicobar Islands,South Andaman,2025-01,0.8365150662454163
Andaman & Nicobar Islands,South Andaman,2025-02,0.24603384301335787
Andaman & Nicobar Islands,South Andaman,2025-03,-0.6396879918347298
Andaman & Nicobar Islands,South Andaman,2025-04,-0.6396879918347298
Andaman & Nicobar Islands,South Andaman,2025-05,1.722236901093504
Andaman & Nicobar Islands,South Andaman,2025-06,-1.2301692150667882
Andaman & Nicobar Islands,South Andaman,2025-07,-0.3444473802187006
Andaman & Nicobar Islands,South Andaman,2025-08,-0.3444473802187006
Andaman & Nicobar Islands,South Andaman,2025-09,-1.5254098266828175
Andaman & Nicobar Islands,South Andaman,2025-10,0.5412744546293871
Andaman & Nicobar Islands,South Andaman,2025-11,1.722236901093504
Andaman & Nicobar Islands,South Andaman,2025-12,-0.3444473802187006
Andaman And Nicobar Islands,Nicobar,2025-01,0.48172621793812187
Andaman And Nicobar Islands,Nicobar,2025-02,0.8510101982739793
Andaman And Nicobar Islands,Nicobar,2025-03,2.4701784197465853
Andaman And Nicobar Islands,Nicobar,2025-04,-0.08640298257858207
Andaman And Nicobar Islands,Nicobar,2025-05,-0.9385967833536378
Andaman And Nicobar Islands,Nicobar,2025-06,-0.42728050288860436
Andaman And Nicobar Islands,Nicobar,2025-07,-1.1942549235861546
Andaman And Nicobar Islands,Nicobar,2025-08,-0.0011836025010765
Andaman And Nicobar Islands,Nicobar,2025-09,0.9362295783514848
Andaman And Nicobar Islands,Nicobar,2025-10,-0.42728050288860436
Andaman And Nicobar Islands,Nicobar,2025-11,-0.8533774032761322
Andaman And Nicobar Islands,Nicobar,2025-12,-0.8107677132373795
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,-0.3731844398855514
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,1.6715931525039738
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,-0.006327283603901286
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,-0.33258959062487703
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,0.08689051840209178
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,-0.7209970989831814
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,-1.0627957063384892
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,0.5529795284320571
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,-0.9152008531623337
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,-0.5656340956398597
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,-0.6588518976458527
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,2.324117766545925
Andaman And Nicobar Islands,South Andaman,2025-01,-0.01534546019877473
Andaman And Nicobar Islands,South Andaman,2025-02,-1.3319792550412755
Andaman And Nicobar Islands,South Andaman,2025-03,0.5225476145234665
Andaman And Nicobar Islands,South Andaman,2025-04,0.2780872544444777
Andaman And Nicobar Islands,South Andaman,2025-05,-0.6809495427884781
Andaman And Nicobar Islands,South Andaman,2025-06,-0.5339707232891746
Andaman And Nicobar Islands,South Andaman,2025-07,-1.2982605846855528
Andaman And Nicobar Islands,South Andaman,2025-08,-0.8524248322043322
Andaman And Nicobar Islands,South Andaman,2025-09,-0.028993493437995725
Andaman And Nicobar Islands,South Andaman,2025-10,2.3048201904688033
Andaman And Nicobar Islands,South Andaman,2025-11,0.6418598327052543
Andaman And Nicobar Islands,South Andaman,2025-12,0.9946089995035825
Andhra Pradesh,Adilabad,2025-01,0.6811848110094572
Andhra Pradesh,Adilabad,2025-02,-0.6037933745428253
Andhra Pradesh,Adilabad,2025-03,0.6928311015839358
Andhra Pradesh,Adilabad,2025-04,-0.020518556021382306
Andhra Pradesh,Adilabad,2025-05,-1.4493272718546124
Andhra Pradesh,Adilabad,2025-06,-0.48551731091369915
Andhra Pradesh,Adilabad,2025-07,-1.8481429618011083
Andhra Pradesh,Adilabad,2025-08,0.36545270208480785
Andhra Pradesh,Adilabad,2025-09,-0.38007987769992374
Andhra Pradesh,Adilabad,2025-10,1.8590814810990488
Andhra Pradesh,Adilabad,2025-11,0.0953113030912425
Andhra Pradesh,Adilabad,2025-12,1.093517953965062
Andhra Pradesh,Alluri Sitharama Raju,2025-01,1.961896212699837
Andhra Pradesh,Alluri Sitharama Raju,2025-02,0.3977069034725748
Andhra Pradesh,Alluri Sitharama Raju,2025-03,0.8846321636428992
Andhra Pradesh,Alluri Sitharama Raju,2025-04,-0.633034049298159
Andhra Pradesh,Alluri Sitharama Raju,2025-05,-0.9680223368263192
Andhra Pradesh,Alluri Sitharama Raju,2025-06,-0.02998199019997363
Andhra Pradesh,Alluri Sitharama Raju,2025-07,0.5228364540784862
Andhra Pradesh,Alluri Sitharama Raju,2025-08,-0.6796617858263688
Andhra Pradesh,Alluri Sitharama Raju,2025-09,-1.381840958877119
Andhra Pradesh,Alluri Sitharama Raju,2025-10,1.2356280012800172
Andhra Pradesh,Alluri Sitharama Raju,2025-11,-0.006357270359013471
Andhra Pradesh,Alluri Sitharama Raju,2025-12,-1.3038013437868612
Andhra Pradesh,Anakapalli,2025-01,-0.4244498337914472
Andhra Pradesh,Anakapalli,2025-02,-0.5744576151299522
Andhra Pradesh,Anakapalli,2025-03,0.7282941928249063
Andhra Pradesh,Anakapalli,2025-04,2.6820372408315087
Andhra Pradesh,Anakapalli,2025-05,-0.5137506537671555
Andhra Pradesh,Anakapalli,2025-06,-0.03836158133054759
Andhra Pradesh,Anakapalli,2025-07,-0.7380702792906609
Andhra Pradesh,Anakapalli,2025-08,0.43142300856194615
Andhra Pradesh,Anakapalli,2025-09,0.7022097823296656
Andhra Pradesh,Anakapalli,2025-10,-1.3326047803312449
Andhra Pradesh,Anakapalli,2025-11,-0.6555333595815824
Andhra Pradesh,Anakapalli,2025-12,-0.2667361213254304
Andhra Pradesh,Anantapur,2025-01,2.9129306026099395
Andhra Pradesh,Anantapur,2025-02,-0.7153183824748491
Andhra Pradesh,Anantapur,2025-03,-0.23964305409634018
Andhra Pradesh,Anantapur,2025-04,-0.11803468424659426
Andhra Pradesh,Anantapur,2025-05,-0.827149066472525
Andhra Pradesh,Anantapur,2025-06,-0.4394831961524216
Andhra Pradesh,Anantapur,2025-07,-1.2112086566022666
Andhra Pradesh,Anantapur,2025-08,-0.34279467854399476
Andhra Pradesh,Anantapur,2025-09,-0.0937844534970467
Andhra Pradesh,Anantapur,2025-10,0.5830238690936844
Andhra Pradesh,Anantapur,2025-11,0.23072910480819805
Andhra Pradesh,Anantapur,2025-12,0.2607325955742181
Andhra Pradesh,Ananthapur,2025-01,0.7918794067809645
Andhra Pradesh,Ananthapur,2025-02,-1.2685269647376434
Andhra Pradesh,Ananthapur,2025-03,-0.6955347338989095
Andhra Pradesh,Ananthapur,2025-04,-0.1380030291081857
Andhra Pradesh,Ananthapur,2025-05,-1.122041529514068
Andhra Pradesh,Ananthapur,2025-06,-0.2934889124132276
Andhra Pradesh,Ananthapur,2025-07,-1.131207218004265
Andhra Pradesh,Ananthapur,2025-08,-0.2309787181094656
Andhra Pradesh,Ananthapur,2025-09,0.4911935616032826
Andhra Pradesh,Ananthapur,2025-10,2.3604186070707067
Andhra Pradesh,Ananthapur,2025-11,0.5643984504561615
Andhra Pradesh,Ananthapur,2025-12,0.6718910798746479
Andhra Pradesh,Ananthapuramu,2025-01,-0.1371470029090642
Andhra Pradesh,Ananthapuramu,2025-02,-1.029952571034801
Andhra Pradesh,Ananthapuramu,2025-03,-0.5272754885014326
Andhra Pradesh,Ananthapuramu,2025-04,0.010230947599568628
Andhra Pradesh,Ananthapuramu,2025-05,-1.7645259092224348
Andhra Pradesh,Ananthapuramu,2025-06,-0.2897468457302296
