state,district,month,demo_age_5_17,demo_age_17_
Andaman & Nicobar Islands,Andamans,2025-01,0,23
Andaman & Nicobar Islands,Andamans,2025-02,0,22
Andaman & Nicobar Islands,Andamans,2025-03,1,39
Andaman & Nicobar Islands,Andamans,2025-04,0,48
Andaman & Nicobar Islands,Andamans,2025-05,1,19
Andaman & Nicobar Islands,Andamans,2025-06,0,13
Andaman & Nicobar Islands,Andamans,2025-07,0,12
Andaman & Nicobar Islands,Andamans,2025-08,0,16
Andaman & Nicobar Islands,Andamans,2025-09,1,18
Andaman & Nicobar Islands,Andamans,2025-10,0,16
Andaman & Nicobar Islands,Andamans,2025-11,0,31
Andaman & Nicobar Islands,Andamans,2025-12,0,29
Andaman & Nicobar Islands,Nicobars,2025-03,0,1
Andaman & Nicobar Islands,Nicobars,2025-04,0,1
Andaman & Nicobar Islands,South Andaman,2025-01,0,11
Andaman & Nicobar Islands,South Andaman,2025-02,0,9
Andaman & Nicobar Islands,South Andaman,2025-03,1,12
Andaman & Nicobar Islands,South Andaman,2025-04,0,6
Andaman & Nicobar Islands,South Andaman,2025-05,0,14
Andaman & Nicobar Islands,South Andaman,2025-06,0,4
Andaman & Nicobar Islands,South Andaman,2025-07,0,7
Andaman & Nicobar Islands,South Andaman,2025-08,0,7
Andaman & Nicobar Islands,South Andaman,2025-09,0,3
Andaman & Nicobar Islands,South Andaman,2025-10,0,10
Andaman & Nicobar Islands,South Andaman,2025-11,0,14
Andaman & Nicobar Islands,South Andaman,2025-12,0,7
Andaman And Nicobar Islands,Nicobar,2025-01,17,204
Andaman And Nicobar Islands,Nicobar,2025-02,1,27
Andaman And Nicobar Islands,Nicobar,2025-03,0,23
Andaman And Nicobar Islands,Nicobar,2025-04,0,8
Andaman And Nicobar Islands,Nicobar,2025-05,1,6
Andaman And Nicobar Islands,Nicobar,2025-06,0,6
Andaman And Nicobar Islands,Nicobar,2025-07,1,3
Andaman And Nicobar Islands,Nicobar,2025-08,1,17
Andaman And Nicobar Islands,Nicobar,2025-09,0,14
Andaman And Nicobar Islands,Nicobar,2025-10,0,6
Andaman And Nicobar Islands,Nicobar,2025-11,1,7
Andaman And Nicobar Islands,Nicobar,2025-12,3,15
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,30,436
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,0,36
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,2,54
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,1,29
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,0,19
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,2,31
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,2,20
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,0,24
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,3,33
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,1,24
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,2,33
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,0,43
Andaman And Nicobar Islands,South Andaman,2025-01,83,524
Andaman And Nicobar Islands,South Andaman,2025-02,16,67
Andaman And Nicobar Islands,South Andaman,2025-03,16,122
Andaman And Nicobar Islands,South Andaman,2025-04,11,81
Andaman And Nicobar Islands,South Andaman,2025-05,12,66
Andaman And Nicobar Islands,South Andaman,2025-06,8,48
Andaman And Nicobar Islands,South Andaman,2025-07,13,56
Andaman And Nicobar Islands,South Andaman,2025-08,8,43
Andaman And Nicobar Islands,South Andaman,2025-09,13,87
Andaman And Nicobar Islands,South Andaman,2025-10,6,72
Andaman And Nicobar Islands,South Andaman,2025-11,12,96
Andaman And Nicobar Islands,South Andaman,2025-12,9,80
Andhra Pradesh,Adilabad,2025-01,390,4341
Andhra Pradesh,Adilabad,2025-02,84,675
Andhra Pradesh,Adilabad,2025-03,83,935
Andhra Pradesh,Adilabad,2025-04,116,1097
Andhra Pradesh,Adilabad,2025-05,71,422
Andhra Pradesh,Adilabad,2025-06,55,461
Andhra Pradesh,Adilabad,2025-07,74,366
Andhra Pradesh,Adilabad,2025-08,42,444
Andhra Pradesh,Adilabad,2025-09,58,501
Andhra Pradesh,Adilabad,2025-10,34,490
Andhra Pradesh,Adilabad,2025-11,58,570
Andhra Pradesh,Adilabad,2025-12,59,727
Andhra Pradesh,Alluri Sitharama Raju,2025-01,465,3953
Andhra Pradesh,Alluri Sitharama Raju,2025-02,28,198
Andhra Pradesh,Alluri Sitharama Raju,2025-03,34,257
Andhra Pradesh,Alluri Sitharama Raju,2025-04,18,109
Andhra Pradesh,Alluri Sitharama Raju,2025-05,33,183
Andhra Pradesh,Alluri Sitharama Raju,2025-06,31,204
Andhra Pradesh,Alluri Sitharama Raju,2025-07,24,174
Andhra Pradesh,Alluri Sitharama Raju,2025-08,31,182
Andhra Pradesh,Alluri Sitharama Raju,2025-09,35,178
Andhra Pradesh,Alluri Sitharama Raju,2025-10,13,108
Andhra Pradesh,Alluri Sitharama Raju,2025-11,29,192
Andhra Pradesh,Alluri Sitharama Raju,2025-12,36,186
Andhra Pradesh,Anakapalli,2025-01,413,2796
Andhra Pradesh,Anakapalli,2025-02,36,240
Andhra Pradesh,Anakapalli,2025-03,30,273
Andhra Pradesh,Anakapalli,2025-04,13,172
Andhra Pradesh,Anakapalli,2025-05,36,244
Andhra Pradesh,Anakapalli,2025-06,33,253
Andhra Pradesh,Anakapalli,2025-07,40,254
Andhra Pradesh,Anakapalli,2025-08,17,149
Andhra Pradesh,Anakapalli,2025-09,24,219
Andhra Pradesh,Anakapalli,2025-10,21,113
Andhra Pradesh,Anakapalli,2025-11,37,241
Andhra Pradesh,Anakapalli,2025-12,28,204
Andhra Pradesh,Anantapur,2025-01,1065,14960
Andhra Pradesh,Anantapur,2025-02,279,1066
Andhra Pradesh,Anantapur,2025-03,283,1462
Andhra Pradesh,Anantapur,2025-04,213,1175
Andhra Pradesh,Anantapur,2025-05,247,866
Andhra Pradesh,Anantapur,2025-06,194,894
Andhra Pradesh,Anantapur,2025-07,275,665
Andhra Pradesh,Anantapur,2025-08,160,782
Andhra Pradesh,Anantapur,2025-09,160,895
Andhra Pradesh,Anantapur,2025-10,104,784
Andhra Pradesh,Anantapur,2025-11,189,1230
Andhra Pradesh,Anantapur,2025-12,205,1351
Andhra Pradesh,Ananthapur,2025-01,1919,5716
Andhra Pradesh,Ananthapur,2025-02,285,359
Andhra Pradesh,Ananthapur,2025-03,266,463
Andhra Pradesh,Ananthapur,2025-04,194,429
Andhra Pradesh,Ananthapur,2025-05,187,259
Andhra Pradesh,Ananthapur,2025-06,156,325
Andhra Pradesh,Ananthapur,2025-07,199,274
Andhra Pradesh,Ananthapur,2025-08,138,295
Andhra Pradesh,Ananthapur,2025-09,123,338
Andhra Pradesh,Ananthapur,2025-10,65,283
Andhra Pradesh,Ananthapur,2025-11,168,471
Andhra Pradesh,Ananthapur,2025-12,137,397
Andhra Pradesh,Ananthapuramu,2025-01,4393,16099
Andhra Pradesh,Ananthapuramu,2025-02,169,519
Andhra Pradesh,Ananthapuramu,2025-03,193,659
Andhra Pradesh,Ananthapuramu,2025-04,118,448
Andhra Pradesh,Ananthapuramu,2025-05,168,431
Andhra Pradesh,Ananthapuramu,2025-06,142,509
Andhra Pradesh,Ananthapuramu,2025-07,149,534
Andhra Pradesh,Ananthapuramu,2025-08,115,404
Andhra Pradesh,Ananthapuramu,2025-09,112,494
Andhra Pradesh,Ananthapuramu,2025-10,85,336
Andhra Pradesh,Ananthapuramu,2025-11,132,591
Andhra Pradesh,Ananthapuramu,2025-12,111,598
Andhra Pradesh,Annamayya,2025-01,2659,11756
Andhra Pradesh,Annamayya,2025-02,72,354
Andhra Pradesh,Annamayya,2025-03,53,387
Andhra Pradesh,Annamayya,2025-04,44,298
Andhra Pradesh,Annamayya,2025-05,66,285
Andhra Pradesh,Annamayya,2025-06,75,417
Andhra Pradesh,Annamayya,2025-07,52,292
Andhra Pradesh,Annamayya,2025-08,38,260
Andhra Pradesh,Annamayya,2025-09,50,295
Andhra Pradesh,Annamayya,2025-10,24,180
Andhra Pradesh,Annamayya,2025-11,56,336
Andhra Pradesh,Annamayya,2025-12,41,310
Andhra Pradesh,Bapatla,2025-01,601,3373
Andhra Pradesh,Bapatla,2025-02,36,203
Andhra Pradesh,Bapatla,2025-03,21,226
Andhra Pradesh,Bapatla,2025-04,20,162
Andhra Pradesh,Bapatla,2025-05,52,217
Andhra Pradesh,Bapatla,2025-06,39,240
Andhra Pradesh,Bapatla,2025-07,32,174
Andhra Pradesh,Bapatla,2025-08,26,153
Andhra Pradesh,Bapatla,2025-09,28,196
Andhra Pradesh,Bapatla,2025-10,11,99
Andhra Pradesh,Bapatla,2025-11,50,231
Andhra Pradesh,Bapatla,2025-12,36,232
Andhra Pradesh,Chittoor,2025-01,7982,50029
Andhra Pradesh,Chittoor,2025-02,744,2194
Andhra Pradesh,Chittoor,2025-03,667,2588
Andhra Pradesh,Chittoor,2025-04,476,2017
Andhra Pradesh,Chittoor,2025-05,516,1512
Andhra Pradesh,Chittoor,2025-06,491,1915
Andhra Pradesh,Chittoor,2025-07,487,1313
Andhra Pradesh,Chittoor,2025-08,328,1413
Andhra Pradesh,Chittoor,2025-09,418,1873
Andhra Pradesh,Chittoor,2025-10,224,1336
Andhra Pradesh,Chittoor,2025-11,423,2276
Andhra Pradesh,Chittoor,2025-12,433,2328
Andhra Pradesh,Cuddapah,2025-01,2208,18047
Andhra Pradesh,Cuddapah,2025-02,283,1476
Andhra Pradesh,Cuddapah,2025-03,253,1613
Andhra Pradesh,Cuddapah,2025-04,204,1373
