state,district,month,demo_age_5_17,demo_age_17_,dataset
Andaman & Nicobar Islands,Andamans,2025-01,0,23,demographic
Andaman & Nicobar Islands,Andamans,2025-02,0,22,demographic
Andaman & Nicobar Islands,Andamans,2025-03,1,39,demographic
Andaman & Nicobar Islands,Andamans,2025-04,0,48,demographic
Andaman & Nicobar Islands,Andamans,2025-05,1,19,demographic
Andaman & Nicobar Islands,Andamans,2025-06,0,13,demographic
Andaman & Nicobar Islands,Andamans,2025-07,0,12,demographic
Andaman & Nicobar Islands,Andamans,2025-08,0,16,demographic
Andaman & Nicobar Islands,Andamans,2025-09,1,18,demographic
Andaman & Nicobar Islands,Andamans,2025-10,0,16,demographic
Andaman & Nicobar Islands,Andamans,2025-11,0,31,demographic
Andaman & Nicobar Islands,Andamans,2025-12,0,29,demographic
Andaman & Nicobar Islands,Nicobars,2025-03,0,1,demographic
Andaman & Nicobar Islands,Nicobars,2025-04,0,1,demographic
Andaman & Nicobar Islands,South Andaman,2025-01,0,11,demographic
Andaman & Nicobar Islands,South Andaman,2025-02,0,9,demographic
Andaman & Nicobar Islands,South Andaman,2025-03,1,12,demographic
Andaman & Nicobar Islands,South Andaman,2025-04,0,6,demographic
Andaman & Nicobar Islands,South Andaman,2025-05,0,14,demographic
Andaman & Nicobar Islands,South Andaman,2025-06,0,4,demographic
Andaman & Nicobar Islands,South Andaman,2025-07,0,7,demographic
Andaman & Nicobar Islands,South Andaman,2025-08,0,7,demographic
Andaman & Nicobar Islands,South Andaman,2025-09,0,3,demographic
Andaman & Nicobar Islands,South Andaman,2025-10,0,10,demographic
Andaman & Nicobar Islands,South Andaman,2025-11,0,14,demographic
Andaman & Nicobar Islands,South Andaman,2025-12,0,7,demographic
Andaman And Nicobar Islands,Nicobar,2025-01,17,204,demographic
Andaman And Nicobar Islands,Nicobar,2025-02,1,27,demographic
Andaman And Nicobar Islands,Nicobar,2025-03,0,23,demographic
Andaman And Nicobar Islands,Nicobar,2025-04,0,8,demographic
Andaman And Nicobar Islands,Nicobar,2025-05,1,6,demographic
Andaman And Nicobar Islands,Nicobar,2025-06,0,6,demographic
Andaman And Nicobar Islands,Nicobar,2025-07,1,3,demographic
Andaman And Nicobar Islands,Nicobar,2025-08,1,17,demographic
Andaman And Nicobar Islands,Nicobar,2025-09,0,14,demographic
Andaman And Nicobar Islands,Nicobar,2025-10,0,6,demographic
Andaman And Nicobar Islands,Nicobar,2025-11,1,7,demographic
Andaman And Nicobar Islands,Nicobar,2025-12,3,15,demographic
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,30,436,demographic
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,0,36,demographic
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,2,54,demographic
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,1,29,demographic
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,0,19,demographic
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,2,31,demographic
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,2,20,demographic
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,0,24,demographic
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,3,33,demographic
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,1,24,demographic
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,2,33,demographic
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,0,43,demographic
Andaman And Nicobar Islands,South Andaman,2025-01,83,524,demographic
Andaman And Nicobar Islands,South Andaman,2025-02,16,67,demographic
Andaman And Nicobar Islands,South Andaman,2025-03,16,122,demographic
Andaman And Nicobar Islands,South Andaman,2025-04,11,81,demographic
Andaman And Nicobar Islands,South Andaman,2025-05,12,66,demographic
Andaman And Nicobar Islands,South Andaman,2025-06,8,48,demographic
Andaman And Nicobar Islands,South Andaman,2025-07,13,56,demographic
Andaman And Nicobar Islands,South Andaman,2025-08,8,43,demographic
Andaman And Nicobar Islands,South Andaman,2025-09,13,87,demographic
Andaman And Nicobar Islands,South Andaman,2025-10,6,72,demographic
Andaman And Nicobar Islands,South Andaman,2025-11,12,96,demographic
Andaman And Nicobar Islands,South Andaman,2025-12,9,80,demographic
Andhra Pradesh,Adilabad,2025-01,390,4341,demographic
Andhra Pradesh,Adilabad,2025-02,84,675,demographic
Andhra Pradesh,Adilabad,2025-03,83,935,demographic
Andhra Pradesh,Adilabad,2025-04,116,1097,demographic
Andhra Pradesh,Adilabad,2025-05,71,422,demographic
Andhra Pradesh,Adilabad,2025-06,55,461,demographic
Andhra Pradesh,Adilabad,2025-07,74,366,demographic
Andhra Pradesh,Adilabad,2025-08,42,444,demographic
Andhra Pradesh,Adilabad,2025-09,58,501,demographic
Andhra Pradesh,Adilabad,2025-10,34,490,demographic
Andhra Pradesh,Adilabad,2025-11,58,570,demographic
Andhra Pradesh,Adilabad,2025-12,59,727,demographic
Andhra Pradesh,Alluri Sitharama Raju,2025-01,465,3953,demographic
Andhra Pradesh,Alluri Sitharama Raju,2025-02,28,198,demographic
Andhra Pradesh,Alluri Sitharama Raju,2025-03,34,257,demographic
Andhra Pradesh,Alluri Sitharama Raju,2025-04,18,109,demographic
Andhra Pradesh,Alluri Sitharama Raju,2025-05,33,183,demographic
Andhra Pradesh,Alluri Sitharama Raju,2025-06,31,204,demographic
Andhra Pradesh,Alluri Sitharama Raju,2025-07,24,174,demographic
Andhra Pradesh,Alluri Sitharama Raju,2025-08,31,182,demographic
Andhra Pradesh,Alluri Sitharama Raju,2025-09,35,178,demographic
Andhra Pradesh,Alluri Sitharama Raju,2025-10,13,108,demographic
Andhra Pradesh,Alluri Sitharama Raju,2025-11,29,192,demographic
Andhra Pradesh,Alluri Sitharama Raju,2025-12,36,186,demographic
Andhra Pradesh,Anakapalli,2025-01,413,2796,demographic
Andhra Pradesh,Anakapalli,2025-02,36,240,demographic
Andhra Pradesh,Anakapalli,2025-03,30,273,demographic
Andhra Pradesh,Anakapalli,2025-04,13,172,demographic
Andhra Pradesh,Anakapalli,2025-05,36,244,demographic
Andhra Pradesh,Anakapalli,2025-06,33,253,demographic
Andhra Pradesh,Anakapalli,2025-07,40,254,demographic
Andhra Pradesh,Anakapalli,2025-08,17,149,demographic
Andhra Pradesh,Anakapalli,2025-09,24,219,demographic
Andhra Pradesh,Anakapalli,2025-10,21,113,demographic
Andhra Pradesh,Anakapalli,2025-11,37,241,demographic
Andhra Pradesh,Anakapalli,2025-12,28,204,demographic
Andhra Pradesh,Anantapur,2025-01,1065,14960,demographic
Andhra Pradesh,Anantapur,2025-02,279,1066,demographic
Andhra Pradesh,Anantapur,2025-03,283,1462,demographic
Andhra Pradesh,Anantapur,2025-04,213,1175,demographic
Andhra Pradesh,Anantapur,2025-05,247,866,demographic
Andhra Pradesh,Anantapur,2025-06,194,894,demographic
Andhra Pradesh,Anantapur,2025-07,275,665,demographic
Andhra Pradesh,Anantapur,2025-08,160,782,demographic
Andhra Pradesh,Anantapur,2025-09,160,895,demographic
Andhra Pradesh,Anantapur,2025-10,104,784,demographic
Andhra Pradesh,Anantapur,2025-11,189,1230,demographic
Andhra Pradesh,Anantapur,2025-12,205,1351,demographic
Andhra Pradesh,Ananthapur,2025-01,1919,5716,demographic
Andhra Pradesh,Ananthapur,2025-02,285,359,demographic
Andhra Pradesh,Ananthapur,2025-03,266,463,demographic
Andhra Pradesh,Ananthapur,2025-04,194,429,demographic
Andhra Pradesh,Ananthapur,2025-05,187,259,demographic
Andhra Pradesh,Ananthapur,2025-06,156,325,demographic
Andhra Pradesh,Ananthapur,2025-07,199,274,demographic
Andhra Pradesh,Ananthapur,2025-08,138,295,demographic
Andhra Pradesh,Ananthapur,2025-09,123,338,demographic
Andhra Pradesh,Ananthapur,2025-10,65,283,demographic
Andhra Pradesh,Ananthapur,2025-11,168,471,demographic
Andhra Pradesh,Ananthapur,2025-12,137,397,demographic
Andhra Pradesh,Ananthapuramu,2025-01,4393,16099,demographic
Andhra Pradesh,Ananthapuramu,2025-02,169,519,demographic
Andhra Pradesh,Ananthapuramu,2025-03,193,659,demographic
Andhra Pradesh,Ananthapuramu,2025-04,118,448,demographic
Andhra Pradesh,Ananthapuramu,2025-05,168,431,demographic
Andhra Pradesh,Ananthapuramu,2025-06,142,509,demographic
Andhra Pradesh,Ananthapuramu,2025-07,149,534,demographic
Andhra Pradesh,Ananthapuramu,2025-08,115,404,demographic
Andhra Pradesh,Ananthapuramu,2025-09,112,494,demographic
Andhra Pradesh,Ananthapuramu,2025-10,85,336,demographic
Andhra Pradesh,Ananthapuramu,2025-11,132,591,demographic
Andhra Pradesh,Ananthapuramu,2025-12,111,598,demographic
Andhra Pradesh,Annamayya,2025-01,2659,11756,demographic
Andhra Pradesh,Annamayya,2025-02,72,354,demographic
Andhra Pradesh,Annamayya,2025-03,53,387,demographic
Andhra Pradesh,Annamayya,2025-04,44,298,demographic
Andhra Pradesh,Annamayya,2025-05,66,285,demographic
Andhra Pradesh,Annamayya,2025-06,75,417,demographic
Andhra Pradesh,Annamayya,2025-07,52,292,demographic
Andhra Pradesh,Annamayya,2025-08,38,260,demographic
Andhra Pradesh,Annamayya,2025-09,50,295,demographic
